Id_station;Id_omm;Nom_usuel;Latitude;Longitude;Altitude;Date_ouverture;Pack
03106002;;DURDAT-LAREQUILLE;46.251667;2.695667;500;1962-05-01;ETENDU
03108001;;ECHASSIERES_SAPC;46.191167;2.957667;650;1966-11-01;ETENDU
03114001;;FERTE-HAUTERIVE;46.376833;3.331000;226;1957-01-01;ETENDU
03125001;;LA GUILLERMIE;45.984667;3.639833;722;1935-01-01;ETENDU
03130002;;ISLE-ET-BARDAIS;46.663333;2.729667;260;1953-05-01;ETENDU
03155003;;LURCY-LEVIS SA;46.718333;2.947667;225;1991-01-01;RADOME
03162001;;MARIGNY;46.583167;3.195333;240;1927-09-01;ETENDU
03180001;;MONTBEUGNY;46.536333;3.423167;275;1984-01-01;RADOME
03185007;;MONTLUCON;46.355167;2.574667;229;2002-04-01;RADOME
03204001;;PARAY-SOUS-BRIAILLES;46.283500;3.337833;250;1937-05-01;ETENDU
03226001;;SAINT DIDIER_SAPC;46.365333;3.850167;293;1997-03-01;ETENDU
03240001;;ST-LEON;46.402500;3.685833;378;1962-10-01;ETENDU
03248001;;ST-NICOLAS;46.051500;3.805167;1022;1991-03-01;RADOME
03285001;;TORTEZAIS_SAPC;46.451333;2.857000;256;1991-04-01;ETENDU
03310001;;VICHY-VILLE;46.117667;3.439000;255;1858-07-01;ETENDU
03321001;;YZEURE;46.579167;3.353667;242;1867-01-01;ETENDU
04006005;;ALLOS_SAPC;44.242500;6.625333;1400;2010-05-26;ETENDU
04019001;;BARCELONNETTE;44.391167;6.670167;1155;1923-01-01;RADOME
04022001;;BARREME;43.957167;6.372333;743;1966-07-01;ETENDU
04023001;;BAYONS;44.338833;6.174000;893;1997-01-01;ETENDU
04024004;;BEAUJEU ST PIERRE;44.209833;6.385167;960;2023-08-24;ETENDU
04039001;;CASTELLANE;43.849167;6.508000;729;1968-03-01;ETENDU
04041001;;LE CASTELLET;43.938333;5.979500;473;1957-12-01;ETENDU
04049001;07588;ST AUBAN;44.062167;5.989667;458;1954-01-01;RADOME
04068001;;DAUPHIN;43.909833;5.767167;427;2003-08-01;RADOME
04070009;;DIGNE LES BAINS;44.070000;6.186667;554;2003-08-01;RADOME
04096002;;JAUSIERS-ST ANNE;44.413667;6.725167;1240;1985-01-01;ETENDU
04096401;;RESTEFOND-NIVOSE;44.340000;6.800000;2550;1995-09-27;ETENDU
04115001;;MEAILLES_SAPC;44.031167;6.629500;1090;2007-05-10;ETENDU
04126001;;MONTCLAR_SAPC;44.391833;6.333333;1197;2007-06-26;ETENDU
04134002;;LA MOTTE DU CAIRE;44.326667;6.030500;665;1933-08-01;ETENDU
04136001;;LA MURE-ARGENS;43.977000;6.520167;920;2005-06-29;RADOME
04184001;;ST JURS;43.900833;6.200500;867;1962-10-01;ETENDU
04209005;;SISTERON;44.224500;5.916000;500;1998-07-01;ETENDU
04230001;;VALENSOLE;43.839500;6.000833;600;1995-01-01;RADOME
05007003;;ARVIEUX;44.796000;6.728000;1825;2007-07-05;ETENDU
05038001;;CHATEAU-VILLE-VIEILLE;44.759333;6.809000;1355;1928-01-01;ETENDU
05044400;;PARPAILLON-NIVOSE;44.495333;6.636333;2545;2010-08-11;ETENDU
05046001;07591;EMBRUN;44.571167;6.508667;873;1806-01-01;RADOME
05055001;;LA FAURIE;44.566667;5.750167;825;1997-06-01;ETENDU
05061009;;GAP;44.577667;6.079833;885;2003-12-01;ETENDU
05063402;;LA MEIJE-NIVOSE;45.012333;6.265167;3093;1990-03-22;ETENDU
